SMILES,ID,pH
OC1=CC=C(C=C1)N(=O)=O,R503,1
OC1=CC=C(C=C1)N(=O)=O,R504,7.5
OC1=CC=C(C=C1)N(=O)=O,R505,7.4
OC1=CC=C(C=C1)N(=O)=O,R506,7.4
OC1=CC(=CC=C1)N(=O)=O,R507,5.6
OC1=CC(=CC=C1)N(=O)=O,R508,1
OC1=CC=CC=C1N(=O)=O,R509,6.8
OC1=CC=CC=C1N(=O)=O,R510,1.5
OC(=O)C1=C(O)C=CC=N1,R511,2
OC(=O)C1=C(O)C=CC=N1,R512,7.4
O=C1N(CC(O)=O)C(=O)C=C1,R513,7.4
OC1=CC=C(C(O)=C1)N(=O)=O,R514,6.8
OC1=CC=CC(O)=C1N(=O)=O,R515,6.8
OC1=CC=CC(O)=C1N(=O)=O,R516,1.4
N1N=C2C=CC=CC2=N1,R517,5.6
N1N=NC2=CC=CC=C12,R518,8
NC1=C2SC=CC2=NC=N1,R519,7
C1=CC=CC=C1,R520,7.4
C1=CC=CC=C1,R521,7
C1=CC=CC=C1,R522,2.7
NC1=CC(Br)=CC=C1,R523,13
NC1=CC=C(Br)C=C1,R524,13
NS(=O)(=O)C1=CC=C(Br)C=C1,R525,2
NS(=O)(=O)C1=CC=C(Br)C=C1,R526,1.5
NNC(=O)C1=CC(Br)=NC=C1,R527,7.4
NC1=CC=CC=C1Cl,R528,3
NC1=CC=C(Cl)C=C1,R529,7.4
NC1=CC=C(Cl)C=C1,R530,13
NC1=CC(Cl)=CC=C1,R531,1
NS(=O)(=O)C1=CC=CC=C1Cl,R532,2
NS(=O)(=O)C1=CC(Cl)=CC=C1,R533,2
NS(=O)(=O)C1=CC(Cl)=CC=C1,R534,1.5
NS(=O)(=O)C1=CC=C(Cl)C=C1,R535,2
NS(=O)(=O)C1=CC=C(Cl)C=C1,R536,7.2
NS(=O)(=O)C1=CC=C(Cl)C=C1,R537,1.5
ClC1=CC(N)=C(S)C=C1,R538,2
NNC(=O)C1=CC(Cl)=NC=C1,R539,7.4
ClC=1C=C(S)C=CC1,R540,2
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,R541,7
CN1C=CC(=O)C(O)=C1F,R542,7.4
CC1=CC(=O)C(O)=C(F)N1,R543,7.4
CC1=CNC(F)=C(O)C1=O,R544,7.4
CC1=C(O)C(=O)C(F)=CN1,R545,7.4
CC1=C(F)C(=O)C(O)=CN1,R546,7.4
CN1C=C(O)C(=O)C(F)=C1,R547,7.4
NNC(=O)C1=CC=NC(F)=C1,R548,7.4
